,#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC,Lyrics
0,1,Heat Waves,['Glass Animals'],84,81,"gauze pop, indietronica, modern rock, pov: indie, shiver pop","Pop, Rock",Dreamland,2020-08-07,03:58,76,53,44,0,53,0,0,-7,B Major,4,2024-11-09,3USxtqRwSYz57Ewm6wWRMp,Polydor Records,1B,GBUM72000433,"167 ContributorsTranslationsItalianoDeutschFrançaisEspañolHeat Waves Lyrics[Intro]
(Last night, all I think about is you)
(Don't stop, baby, you can walk through)
(Don't want, baby, think about you)
(You know that I'm never gonna lose)
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a—

[Chorus]
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

[Verse 1]
Usually, I put somethin' on TV
So we never think about you and me
But today, I see our reflections clearly
In Hollywood, layin' on the screen
You just need a better life than this
You need somethin' I can never give
Fake water all across the road
It's gone now, the night has come, but
See Glass Animals LiveGet tickets as low as $109You might also like[Chorus]
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

[Verse 2]
You can't fight it, you can't breathe
You say somethin' so lovin', but
Now I gotta let you go
You'll be better off in someone new
I don't wanna be alone
You know it hurts me too
You look so broken when you cry
One more and then I say goodbye

[Chorus]
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
[Bridge]
I just wonder what you're dreamin' of
When you sleep and smile so comfortable
I just wish that I could give you that
That look that's perfectly un-sad
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Heat waves been fakin' me out

[Chorus]
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

[Outro]
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror84Embed"
1,2,As It Was,['Harry Styles'],87,174,pop,Pop,Harry's House,2022-05-20,02:47,52,73,34,0,66,0,30,-5,F#/G♭ Minor,4,2024-11-09,4Dvkj6JhhA12EX05fT7y2e,Columbia,11A,USSM12200612,"213 ContributorsTranslationsTürkçeEspañolPortuguês日本語ItalianoΕλληνικάDeutschFrançaisTagalog / ᜆᜄᜎᜓᜄ᜔فارسیNederlandsShqipPolskiРусскийहिन्दीČesky한국어Tiếng ViệtRomânăSlovenčinaAs It Was Lyrics[Intro]
Come on, Harry, we wanna say goodnight to you

[Verse 1]
Holdin' me back
Gravity's holdin' me back
I want you to hold out the palm of your hand
Why don't we leave it at that?
Nothin' to say
When everything gets in the way
Seems you cannot be replaced
And I'm the one who will stay, oh-oh-oh

[Chorus]
In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same

[Verse 2]
Answer the phone
""Harry, you're no good alone
Why are you sitting at home on the floor?
What kind of pills are you on?""
Ringin' the bell
And nobody's coming to help
Your daddy lives by himself
He just wants to know that you're well, oh-oh-oh
You might also like[Chorus]
In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same

[Bridge]
Go home, get ahead, light-speed internet
I don't wanna talk about the way that it was
Leave America, two kids follow her
I don't wanna talk about who's doin' it first

[Outro]
(Hey)
As it was
You know it's not the same as it was
As it was, as it was191Embed"
2,3,STAY (with Justin Bieber),"['The Kid LAROI', 'Justin Bieber']",78,170,"australian hip hop, canadian pop, pop","Hip Hop, Pop",STAY (with Justin Bieber),2021-07-09,02:21,59,76,4,0,48,0,10,-5,C♯/D♭ Major,4,2024-11-09,5HCyWlXZPP0y6Gqq8TgA20,Columbia,3B,USSM12103949,"1 ContributorNew Music Friday 7/9/21 LyricsBTS - Permission to Dance
Post Malone - Motley Crew
Billie Eilish - NDA
The Kid LAROI - Stay (with Justin Bieber)
Maluma - Sobrio
BIA - WHOLE LOTTA MONEY (feat. Nicki Minaj) - Remix
Kane Brown - Memory
Jungle - Romeo (feat. Bas)
Yung Bleu - Way More Close (Stuck In A Box) (feat. Big Sean)
Nathy Peluso - MAFIOSA
Zoe Wees - you broke me first - Spotify Singles
Omar Apollo - Go Away
Bad Bunny - De Museo
Vince Staples - ARE YOU WITH THAT?
Snoh Aalegra - NEON PEACH feat. Tyler, The Creator
Jennifer Lopez - Cambia el Paso
John Legend - Crowd Go Crazy
IDK - Keto
Bas - Thе Jackie (with J. Cole & Lil Tjay)
Masked Wolf - Say So
glaivе - fuck this town
Claire Rosinkranz - Hotel
AURORA - Cure For Me
Tkay Maidza - Onto Me (with UMI)
Dave - Clash (feat. Stormzy)
carolesdaughter - please put me in a medically induced coma
Camylio - love and hate
Joy Oladokun - judas
Ant Clemons - Section (feat. Kehlani)
Logic - Get Up
Little Simz - I Love You, I Hate You
Peggy Gou - I Go - Edit
Icona Pop - Off Of My Mind
Tinashe - Bouncin
Nina Nesbitt - Summer Fling
Walk Off the Earth - Love You Right 🕒
Parmalee - Take My Name
Jon Langston - Try Missing You
Sufjan Stevens - Reach Out
Charlotte Day Wilson - I Can Only Whisper (feat. BADBADNOTGOOD)
mazie - dumb dumb
Fredo Bang - Bless His Soul (with Polo G)
Kid Ink - Party
Dro Kenji - CROSS
Jayson Cash - Priority (feat. Blxst)
Amorphous - The Vibe
Frank Walker - Shadows 🕒
Lost Kings - Me Myself & Adderall
Twin Shadow - Is There Any Love 🕒
Inhaler - In My Sleep
Nothing But Thieves - Miracle, Baby
Sam Fender - Seventeen Going Under - Edit
Allison Ponthier - Hell Is A Crowded Room
Courtney Barnett - Rae Street
Oslo Ibrahim - Baby Don't Let Me Go
O.T. Genasis - What Is Your Name 🕒
NGeeYL - Off-White (feat. Lil Uzi Vert)
Cyn Santana - Come
Jam & Lewis - Do It Yourself 🕒
Mariah the Scientist - Walked In (feat. Young Thug)
Montell Fish - Talk 2 Me
Arden Jones - rollercoaster
Frances Forever - daytime 🐚
Loren Gray - Piece of Work
Conor Maynard - Ain't Got No Friends
Loud Luxury - Wasted 🕒
The Maine - High Forever
POORSTACY - Children of The Dark
Oscar Lang - Thank You
박혜진 Park Hye Jin - Let’s Sing Let’s Dance
Amen Dunes - Feel Nothing
Tom Odell - over you yet
HONNE - NOW I'M ALONE (feat. Sofía Valdés)
Naliya - Roller Coaster
Brynn Elliott - Can I Be Real?
Emily Weisband - butterfly (feat. Karen Fairchild)
Charley Crockett - I Need Your Love
Hillsong UNITED - Know You Will
Dwn2earth - Don't Play With Me
Bantu - Unforgivable
Issam Alnajjar - Mn Gheirik Enti
Hotboy Wes - My Lil Dance (feat. Gucci Mane)
Amindi - nwts
GRiZ - Rainbow Brain
EVAN GIIA - In Motion (feat. Reo Cragun) 🕒
Bahari - Forget You
44phantom - problems 🕒
Dylan Cartlidge - Dare To Dream 🐚
almost monday - til the end of time
LP - Goodbye
Declan McKenna - My House
Spencer. - Lonely As I Ever Was
TAELA - drugs with you
marcos g - 17 anymore
payton - DRIVE AWAY
Rejjie Snow - Shooting Star 🕒
Youssou N'Dour - Raise Your Hand
Jucee Froot - I Need A Bag
Childish Major - F Yah Job
Nicki Nicole - Me Has DejadoEmbed"
3,4,Easy On Me,['Adele'],77,142,"british soul, pop, pop soul, uk pop","R&B, Pop",Easy On Me,2021-10-14,03:44,60,37,58,0,13,0,10,-8,F Major,4,2024-11-09,0gplL1WMoJ6iYaPgMCL0gX,Columbia,7B,USSM12105970,"209 ContributorsTranslationsTürkçeไทย / Phasa ThaiSvenskaEspañolСрпскиРусскийPortuguês한국어日本語ItalianoMagyarΕλληνικάDeutschFrançaisفارسیPolskiTagalog / ᜆᜄᜎᜓᜄ᜔Tiếng ViệtEasy On Me Lyrics[Verse 1]
There ain't no gold in this river
That I've been washin' my hands in forever
I know there is hope in these waters
But I can't bring myself to swim
When I am drowning in this silence
Baby, let me in
[Chorus]
Go easy on me, baby
I was still a child
Didn't get the chance to
Feel the world around me
I had no time to choose what I chose to do
So go easy on me

[Verse 2]
There ain't no room for things to change
When we are both so deeply stuck in our ways
You can't deny how hard I've tried
I changed who I was to put you both first
But now I give up
[Chorus]
Go easy on mе, baby
I was still a child
Didn't get the chance to
Feel thе world around me
Had no time to choose what I chose to do
So go easy on me
See Adele LiveGet tickets as low as $1,500You might also like[Bridge]
I had good intentions
And the highest hopes
But I know right now
It probably doesn't even show
[Chorus]
Go easy on me, baby
I was still a child
I didn't get the chance to
Feel the world around me
I had no time to choose what I chose to do
So go easy on me156Embed"
4,5,Shivers,['Ed Sheeran'],41,141,"pop, singer-songwriter pop, uk pop",Pop,Shivers (Acoustic Version),2021-10-01,03:27,79,86,28,0,82,0,0,-3,D Major,4,2024-11-09,7entdST7QGydL3yDhW03QN,Atlantic Records UK,10B,GBAHS2100671,"86 ContributorsTranslationsEspañolPortuguêsDeutschفارسیதமிழ்日本語ItalianoRomânăSlovenčinaShivers Lyrics[Verse 1]
I took an arrow to the heart
I never kissed a mouth that tastes like yours
Strawberries and then somethin' more
Ooh, yeah, I want it all
Lipstick on my guitar
Fill up the engine, we can drive real far
Go dancin' underneath the stars
Ooh, yeah, I want it all
Mmm, you got me feelin' like

[Pre-Chorus]
I wanna be that guy, I wanna kiss your eyes
I wanna drink that smile, I wanna feel like I'm
Like my soul's on fire, I wanna stay up all day and all night
Yeah, you got me singin' like

[Chorus]
Ooh, I love it when you do it like that
And when you're close up, give mе the shivers
Oh, baby, you wanna dance 'til thе sunlight cracks
And when they say the party's over, then we'll bring it right back
And we'll say, ""Ooh, I love it when you do it like that""
And when you're close up, give me the shivers
Oh, baby, you wanna dance 'til the sunlight cracks
And when they say the party's over, then we'll bring it right back
See Ed Sheeran LiveGet tickets as low as $128You might also like[Verse 2]
Into the car
On the backseat in the moonlit dark
Wrap me up between your legs and arms
Ooh, I can't get enough
You know you could tear me apart
Put me back together and take my heart
I never thought that I could love this hard
Ooh, I can't get enough
Mmm, you got me feelin' like

[Pre-Chorus]
I wanna be that guy, I wanna kiss your eyes
I wanna drink that smile, I wanna feel like I'm
Like my soul's on fire, I wanna stay up all day and all night
Yeah, you got me singin' like

[Chorus]
Ooh, I love it when you do it like that
And when you're close up, give me the shivers
Oh, baby, you wanna dance 'til the sunlight cracks
And when they say the party's over, then we'll bring it right back
And we'll say, ""Ooh, I love it when you do it like that""
And when you're close up, give me the shivers
Oh, baby, you wanna dance 'til the sunlight cracks
And when they say the party's over, then we'll bring it right back
[Bridge]
Baby, you burn so hot, you make me shiver
With the fire you got, this thing we started
I don't want it to stop
You know you make me shiver-er-er
Baby, you burn so hot, you make me shiver
With the fire you got, this thing we started
I don't want it to stop
You know you make me shiver
Yeah, you got me singin' like

[Chorus]
Ooh, I love it when you do it like that
And when you're close up, give me the shivers
Oh, baby, you wanna dance 'til the sunlight cracks
And when they say the party's over, then we'll bring it right back (Oh, no)
And we'll say, ""Ooh, I love it when you do it like that""
And when you're close up, give me the shivers
Oh, baby, you wanna dance 'til the sunlight cracks
And when they say the party's over, then we'll bring it right back, hey24Embed"
5,6,First Class,['Jack Harlow'],72,107,"deep underground hip hop, hip hop, kentucky hip hop, pop rap, rap",Hip Hop,Come Home The Kids Miss You,2022-05-06,02:53,90,58,11,0,33,10,10,-6,F Minor,4,2024-11-09,0wHFktze2PHC5jDt3B17DC,Generation Now/Atlantic,4A,USAT22203024,"151 ContributorsTranslationsTürkçeEspañolРусскийDeutschFirst Class Lyrics[Intro: Jack Harlow]
Mm
[Chorus: Jack Harlow & Fergie]
I been a (G), throw up the (L), sex in the (A.M.), uh-huh
(O-R-O-U-S, yeah)
And I can put you in (First class, up in the sky)
I can put you in (First class, up in the s—, up-up in the s—)
I been a (G), throw up the (L), sex in the (A.M.), uh-huh
(O-R-O-U-S, yeah)
And I can put you in (First class, up in the sky), mm, mm
I can put you in (First class, up in the s—, up-up in the s—)

[Verse 1: Jack Harlow]
I can see the whole city from this balcony
Back in 2019, I was outside freely, but now they got it out for me
I don't care what frat that you was in, you can't alpha me, keep dreamin'
Pineapple juice, I give her sweet, sweet, sweet semen
I know what they like so I just keep cheesin'
Hard drive full of heat seekin'
Tryna come the same day as Jack? Rethink it
You don't need Givenchy, you need Jesus
Why do y'all sleep on me? I need reasons
Uh, I got plaques in thе mail, peak season
Shout out to my UPS workers makin' surе I receive 'em
You can do it too, believe it
See Jack Harlow LiveGet tickets as low as $64You might also like[Chorus: Jack Harlow & Fergie]
I been a (G), throw up the (L), sex in the (A.M.), uh-huh
(O-R-O-U-S, yeah)
And I can put you in (First class, up in the sky), mm, mm
I can put you in (First class, up in the s—, up-up in the s—)

[Verse 2: Jack Harlow & Polow da Don]
(Are you ready?) Ha, yes, I am
They say, ""You a superstar now,"" damn, I guess I am
You might be the man, well, that's unless I am
Okay, I'll confess I am
Go ahead and get undressed, I am
Okay, cool, you on Sunset? (I am)
I'm 'bout to slide, okay, I'm outside, okay
This lifestyle don't got many downsides
'Cept for the lack of time I get 'round my
Family, makin' sure they never downsize
I got visions of my mom sayin', ""Wait, this house mine?""
Can't lie, I'm on Angus, Cloud 9
I got 'em on the bandwagon now, 'bout time
I ain't even got no downtime
Every time I speak, she say, ""Yeah, that sounds fine""
[Chorus: Jack Harlow & Fergie]
I been a (G), throw up the (L), sex in the (A.M.), uh-huh
(O-R-O-U-S, yeah)
And I can put you in (First class, up in the sky)
I can put you in (First class, up in the s—, up-up in the s—)
I been a (G), throw up the (L), sex in the (A.M.), uh-huh
(O-R-O-U-S, yeah)
And I can put you in (First class, up in the sky), mm, mm
I can put you in (First class)28Embed"
6,7,Big Energy,['Latto'],62,106,trap queen,R&B,Big Energy,2021-09-24,02:53,94,81,5,0,81,10,30,-4,B Minor,4,2024-11-09,6Zu3aw7FfjAF9WA0fA81Oq,Streamcut/RCA Records,10A,USRC12102454,"77 ContributorsTranslations日本語УкраїнськаBig Energy Lyrics[Intro]
I got that big, big energy (Uh-huh)
Got that real big energy (Energy)
Hey, daddy
When you gon' stop playin'? (Yeah)

[Chorus]
Bad bitch, I could be your fantasy (Yeah)
I can tell you got big dick energy (Uh-huh)
It ain't too many niggas that can handle me (Yeah)
But I might let you try it off the Hennessy (Uh)
Make 'em sing to this pussy like a melody (Make 'em sang)
And if your bitch ain't right, I got the remedy (Ooh)
It ain't too many niggas that can handle me (Ayy)
Bad bitch, I could be your fantasy (Ayy, ayy)

[Verse 1]
Tell me how you want it (Huh?)
Three, two, one and I'm on it (On it)
Feel good, don't it? (Don't it?)
Hood bitch, fuck you in a bonnet (Yeah)
I'ma bust it on a pole like Onyx (Ooh)
I'm just bein' honest (Uh-huh)
Pussy juicy, Minutе Maid (Oh)
But can't do it one minute, man (Hell no)
Not a sidе or a main
I'm the only bitch he entertain (Yeah)
Spendin' his mine in the bank (In the bank)
I like what I see (Yeah)
A boss like you need a boss like me (Uh-huh)
Daddy from the street, so he move lowkey
Tryna ride that mic' like karaoke (Oh)
You might also like[Pre-Chorus]
On the count of three, bad bitches, get money (Money)
Broke niggas to the left, we don't want it (We don't want)
I'm the one these bitches hate but they can't get past (Uh-huh)
Pretty face, no waist and a big ol' ass, ha

[Chorus]
Bad bitch, I could be your fantasy (Yeah)
I can tell you got big dick energy (Uh-huh)
It ain't too many niggas that can handle me (Yeah)
But I might let you try it off the Hennessy (Uh)
Make 'em sing to this pussy like a melody (Make 'em sang)
And if your bitch ain't right, I got the remedy (Ooh)
It ain't too many niggas that can handle me (Ayy)
Bad bitch, I could be your fantasy (Ayy, ayy)

[Post-Chorus]
Got that real big energy
Got that big, big energy (Big dick energy)
Got that real big energy
Got that big, big energy (Big dick energy)

[Verse 2]
Yuh, tell me how you want it (Want it)
Three, two, one, camera rollin' (Ooh)
Do it slow motion (Uh-huh)
Real bitch, them other hoes phony (Uh)
All that big talk, Latto put 'em on it (Latto)
I'm just bein' honest (Yeah)
Lingerie Dolce (Ha)
Blindfold (Yeah), tie me to the bed (Yeah), while we roleplay (Yeah)
Can't skip foreplay, kill the pussy cold case (Uh-huh)
I'm a boss bitch but tonight, we do it your way
[Pre-Chorus]
On the count of three, bad bitches, get money (Get money)
Broke niggas to the left, we don't want it (Hell nah)
If you ever see me broke, I'm probably rockin' a cast
Pretty face, no waist with a big ol' bag, ha

[Chorus]
Bad bitch, I could be your fantasy (Yeah)
I can tell you got big dick energy (Uh-huh)
It ain't too many niggas that can handle me (Yeah)
But I might let you try it off the Hennessy (Uh)
Make 'em sing to this pussy like a melody (Make 'em sang)
And if your bitch ain't right, I got the remedy (Ooh)
It ain't too many niggas that can handle me (Ayy)
Bad bitch, I could be your fantasy (Ayy, ayy)

[Post-Chorus]
Got that real big energy
Got that big, big energy (Big dick energy)
Got that real big energy
Got that big, big energy (Big dick energy)9Embed"
7,8,Ghost,['Justin Bieber'],83,154,"canadian pop, pop",Pop,Justice,2021-03-19,02:33,60,74,19,0,44,0,40,-6,D Major,4,2024-11-09,6I3mqTwhRpn34SLVafSH7G,RBMG/Def Jam,10B,USUM72102635,"116 ContributorsTranslationsDeutschTürkçeEspañolPortuguêsGhost Lyrics[Verse 1]
Youngblood thinks there's always tomorrow
I miss your touch some nights when I'm hollow
I know you crossed a bridge that I can't follow
Since the love that you left is all that I get, I want you to know

[Chorus]
That if I can't be close to you
I'll settle for the ghost of you
I miss you more than life (More than life)
And if you can't be next to me
Your memory is ecstasy
I miss you more than life
I miss you more than life

[Verse 2]
Youngblood thinks there's always tomorrow
I need more time, but time can't be borrowed
I'd leave it all behind if I could follow
Since the love that you left is all that I get, I want you to know

[Chorus]
That if I can't be close to you
I'll settle for the ghost of you
I miss you more than life (Yeah)
And if you can't be next to me
Your memory is ecstasy (Oh)
I miss you more than life
I miss you more than life
You might also like[Bridge]
Woah
Na-na-na
More than life (Oh)

[Chorus]
So if I can't get close to you
I'll settle for the ghost of you
I miss you more than life
And if you can't be next to me
Your memory is ecstasy
I miss you more than life
I miss you more than life19Embed"
8,9,Super Gremlin,['Kodak Black'],65,73,"florida drill, florida rap, melodic rap, miami hip hop, rap, trap, trap latino","Hip Hop, Latin",Sniper Gang Presents Syko Bob & Snapkatt: Nightmare Babies,2021-10-30,03:20,83,41,0,0,11,10,30,-7,D Major,4,2024-11-09,4A8cWXxKfIL3lAyUDzXbCF,Atlantic/Sniper Gang,10B,USAT22107295,"73 ContributorsSuper Gremlin Lyrics[Intro]
Well, we could be superstars
We been rather wreckin' cars (Ayy, bro, is that Jambo?)
What is at stakes for us?
Kickin' off power mirrors
Yeah, we could be superstars
But I'm pretty sure our time is up
And so we fell off the spinning tops
Don't know, maybe for trial (ATL Jacob, ATL Jacob)
But way more error (Huh)

[Verse 1]
Say you my nigga, I'ma be your killer
Nobody gon' play with you when I'm with you
Go against any nigga, like, fuck this glitter
Skeet off third, I'm busy
I put it in for you, I spinned for you
Whatever you with, I'm with it
How you gon' cross a nigga that was rockin' with you? I got you lit in the city
I been multitaskin', rappin' and bein' a daddy to my lil' children
I been standin' on business, and spinnin' and spinnin' and spinnin' until I'm dizzy
I do all the smackin', you ain't never stepped or helped with none of this killin'
You doin' lot of cappin', watch whеn I catch you, I'ma whack you in front the witness

[Chorus]
Damn, my nigga, you trippin'
We could'vе been superstars
Remember when we was jackin' cars
Now, it's not safe for you
You switched like a pussy, lil' bitch
Damn, my nigga, you trippin'
We could've been superstars
Can't help it, now I'm reminiscing
Remember when we was jackin' cars
Now, you better keep your distance
'Cause it's not safe for you
You switched like a pussy, lil' bitch
You might also like[Post-Chorus]
Trackhawk with the kit, snatch off on the bitch
When I slide, nightlight on the blick, bet I'm on my shit when I'm outside
Zoe done ran down, caught him pants down, nigga, you shitted
I knew the Perc' was fake, but I still ate it 'cause I'm a gremlin

[Verse 2]
Yeah, Kutthroat business, KTB, backdoor wide open
Wait 'til my sniper get loud, all you niggas gon' die, time rollin'
Bustin' on my opponent, no half-steppin', crushin' my opps totally
We was just broke with no motion
Sleepin' on sofas, creepin' in houses like roaches
I done went cages, to stages, to cages
Now free me, baby, can't keep me, baby
I beat them cases, they already hate me
They gon' want me dead when I'm off probation
Oh, y'all think lil' Yak retarded?
Y'all ain't seen nothin' yet, I promise
Niggas can't take me, niggas can't guard me
I be on a fuck nigga ass like Charmin
AK, twenty-inch carbon

[Chorus]
We could've been superstars
Remember when we was jackin' cars
Now, it's not safe for you
You switched like a pussy, lil' bitch
Damn, my nigga, you trippin'
We could've been superstars
Can't help it, now I'm reminiscing
Remember when we was jackin' cars
Now, you better keep your distance
'Cause it's not safe for you
You switched like a pussy, lil' bitch
[Post-Chorus]
Trackhawk with the kit, snatch off on the bitch
When I slide, nightlight on the blick, bet I'm on my shit when I'm outside
Zoe done ran down, caught him pants down, nigga, you shitted
I knew the Perc' was fake, but I still ate it 'cause I'm a gremlin

[Outro]
—Glass
Yeah, we could be superstars (Super Gremlin)
But I'm pretty sure our time is up (Now your time is up)
And so we fell off the spinning tops
Don't know, maybe for trial
But way more error
I ain't slimy, I'm grimy
Any way you put it, I'm SG with it, I'm Super Gremlin
Snatch and grab, sneak and geek, Sniper Gang, trust
Nightmare, baby, you know I—
I bet you always see me in your dreams
Glee14Embed"
9,10,Cold Heart - PNAU Remix,"['Elton John', 'Dua Lipa', 'PNAU']",78,116,"glam rock, mellow gold, piano rock, rock, dance pop, pop, uk pop, alternative dance, aussietronica, australian dance, australian electropop","Rock, Electronic, Pop",Cold Heart (PNAU Remix),2021-08-13,03:22,80,80,3,0,94,0,10,-6,C♯/D♭ Major,4,2024-11-09,6zSpb8dQRaw0M1dK8PBwQz,EMI,3B,GBUM72104705,"82 ContributorsTranslationsEspañolPortuguêsDeutschCold Heart (PNAU Remix) Lyrics[Intro]
(Oh)
(Oh)
(You're my cold heart)
(Oh)
(Oh)

[Verse: Elton John]
It's a human sign
When things go wrong
When the scent of her lingers
And temptation's strong

[Pre-Chorus: Elton John]
Cold, cold heart
Hardened by you (Oh)
Some things lookin' better, baby
Just passin' through (No, no, no, no, no)

[Chorus: Dua Lipa with Elton John]
And I think it's gonna be a long, long time
'Til touchdown brings me 'round again to find
I'm not the man they think I am at home
Oh no, no, no
And this is what I should have said
Well, I thought it, but I kept it hid
You might also like[Pre-Chorus: Elton John]
Cold, cold heart
Hardened by you (Oh)
Some things lookin' better, baby
Just passin' through (No, no, no, no, no)

[Chorus: Dua Lipa with Elton John]
And I think it's gonna be a long, long time
'Til touchdown brings me 'round again to find
I'm not the man they think I am at home
Oh no, no, no (No, no, no, no, no)
And this is what I should have said
Well, I thought it, but I kept it hid

[Pre-Chorus: Elton John]
Cold, cold heart (Oh)
Hardened by you
Some things lookin' better, baby (Oh)
Just passin' through (No, no, no, no, no)

[Chorus: Dua Lipa]
And I think it's gonna be a long, long time
'Til touchdown brings me 'round again to find
I'm not the man they think I am at home
Oh no, no, no (No, no, no, no, no)
And this is what I should have said
(And I think it's gonna be a long, long time)
('Til touchdown brings me 'round again to find)
Well, I thought it, but I kept it hid
(I'm not the man they think I am at home)
(Oh, no, no, no) (No, no, no, no, no)
[Outro]
Shoorah (Oh)
Shoorah
Shoorah (Oh)
Shoorah
(No, no, no, no, no)17Embed"
